:q!:q!
:q!
:q!
LUIS-DANIEL CONTRIDAS,NMC,125,13,3,,,,,,,
MEGAN ANDERSON,HAR,125,13,4,,,,,,,
VIRAJ GHOSH,GUNN,125,13,5,,,,,,,
CRISTIAN DUNN,WEST,125.3,13,6,,,,,,,
ALEJANDRO CHAVEZ JR.,HILL,125.4,13,7,,,,,,,
COLLIN ROBINS,APTO,125.5,13,8,,,,,,,
COREY CAMACHO-LIGHT,BELL,126,14,1,,,,,,,
DIEGO RAMIREZ,ASAL,126,14,2,,,,,,,
ETHAN BIRAL,PNR,126,14,3,,,,,,,
RIKO CORZO,LA,126,14,4,,,,,,,
JACOB  WREN,PG,127,14,5,,,,,,,
KALIB BOULTER,APTO,127,14,6,,,,,,,
HAO PENG,HILL,127.4,14,7,,,,,,,
DYLAN TEMPLE,CAR,127.5,14,8,,,,,,,
ISAAC FISHER,PNR,128,15,1,,,,,,,
KRISTIAN CEFALU,MONT,128,15,2,,,,,,,
LELAND LEDGER,LEIG,128,15,3,,,,,,,
RAY WU,GUNN,128,15,4,,,,,,,
SOPHIE SHADE,SC,128,15,5,,,,,,,
BOAZ VAN HEUKELEM,MONT,129,15,6,,,,,,,
JOHN DUFEK,APTO,129,15,7,,,,,,,
WILL RODRIGUES,BELL,129,15,8,,,,,,,
LUIS LOPEZ,BRAN,130,16,1,,,,,,,
COLE GRAHAM,PNR,130,16,2,,,,,,,
JOSE LUIS SALDANA,ASAL,130,16,3,,,,,,,
KENDAL DAVIS,LG,130,16,4,,,,,,,
CHAD GOBLE,SLV,130,16,5,,,,,,,
DESEAN NEABEACH,BRAN,131,16,6,,,,,,,
JERICHO PIDLAOAN,HILL,131,16,7,,,,,,,
MICHEAL ZERAGOZA,PALM,131,16,8,,,,,,,
BRENDEN YOUNG,WEST,131.2,17,1,,,,,,,
JOSEPH STACHELEK,CAR,131.6,17,2,,,,,,,
CAMRON WELSH,MONT,132,17,3,,,,,,,
KYLE PENICK,PNR,132,17,4,,,,,,,
SHEA VALENZUELA,SAL,132,17,5,,,,,,,
AARON SCHULTZ,GUNN,133,17,6,,,,,,,
FERNANDO ROMAN,PG,133,17,7,,,,,,,
MARIO FAUELA,SOQ,133,17,8,,,,,,,
